Id,prediction,# label
77309447652,1,1
77309447653,1,1
77309447654,1,1
77309447655,1,1
77309447656,1,1
77309447657,1,1
77309447658,1,1
77309447659,1,1
77309447660,1,1
77309447661,0,1
77309447662,0,1
77309447663,1,1
77309447664,1,1
77309447665,1,1
77309447666,1,1
77309447667,1,1
77309447668,1,1
77309447669,1,1
77309447670,1,1
77309447671,1,1
77309447672,0,1
77309447673,0,1
77309447674,1,1
77309447675,1,1
77309447676,1,1
77309447677,0,1
77309447678,1,1
77309447679,1,1
77309447680,0,1
77309447681,1,1
77309447682,1,1
77309447683,0,1
77309447684,1,1
77309447685,0,1
77309447686,1,1
77309447687,1,1
77309447688,1,1
77309447689,0,1
77309447690,1,1
77309447691,0,1
77309447692,1,1
77309447693,1,1
77309447694,1,1
77309447695,1,1
77309447696,1,1
77309447697,1,1
77309447698,0,1
77309447699,1,1
77309447700,1,1
77309447701,1,1
77309447702,1,1
77309447703,1,1
77309447704,1,1
77309447705,0,1
77309447706,1,1
77309447707,1,1
77309447708,0,1
77309447709,0,1
77309447710,1,1
77309447711,1,1
77309447712,0,1
77309447713,1,1
77309447714,1,1
77309447715,0,1
77309447716,0,1
77309447717,1,1
77309447718,1,1
77309447719,1,1
77309447720,1,1
77309447721,1,1
77309447722,0,1
77309447723,0,1
77309447724,1,1
77309447725,0,1
77309447726,1,1
77309447727,0,1
77309447728,1,1
77309447729,1,1
77309447730,1,1
77309447731,1,1
77309447732,0,1
77309447733,1,1
77309447734,1,1
77309447735,1,1
77309447736,1,1
77309447737,0,1
77309447738,1,1
77309447739,1,1
77309447740,1,1
77309447741,1,1
77309447742,1,1
77309447743,1,1
77309447744,0,1
77309447745,1,1
77309447746,0,1
77309447747,1,1
77309447748,1,1
77309447749,0,1
77309447750,0,1
77309447751,0,1
77309447752,1,1
77309447753,1,1
77309447754,1,1
77309447755,1,1
77309447756,1,1
77309447757,1,1
77309447758,1,1
77309447759,1,1
77309447760,1,1
77309447761,1,1
77309447762,1,1
77309447763,0,1
77309447764,1,1
77309447765,0,1
77309447766,1,1
77309447767,1,1
77309447768,1,1
77309447769,1,1
77309447770,1,1
77309447771,0,1
77309447772,0,1
77309447773,0,1
77309447774,1,1
77309447775,1,1
77309447776,1,1
77309447777,1,1
77309447778,1,1
77309447779,1,1
77309447780,1,1
77309447781,1,1
77309447782,1,1
77309447783,1,1
77309447784,1,1
77309447785,1,1
77309447786,1,1
77309447787,0,1
77309447788,1,1
77309447789,1,1
77309447790,1,1
77309447791,0,1
77309447792,1,1
77309447793,1,1
77309447794,1,1
77309447795,1,1
77309447796,1,1
77309447797,1,1
77309447798,0,1
77309447799,1,1
77309447800,1,1
77309447801,1,1
77309447802,0,1
77309447803,1,1
77309447804,1,1
77309447805,0,1
77309447806,0,1
77309447807,0,1
77309447808,1,1
77309447809,0,1
77309447810,0,1
77309447811,0,1
77309447812,1,1
77309447813,0,1
77309447814,1,1
77309447815,1,1
77309447816,1,1
77309447817,0,1
77309447818,0,1
77309447819,1,1
77309447820,1,1
77309447821,1,1
77309447822,1,1
77309447823,1,1
77309447824,0,1
77309447825,1,1
77309447826,1,1
77309447827,1,1
77309447828,1,1
77309447829,1,1
77309447830,1,1
77309447831,0,1
77309447832,0,1
77309447833,1,1
77309447834,1,1
77309447835,1,1
77309447836,0,1
77309447837,0,1
77309447838,0,1
77309447839,1,1
77309447840,1,1
77309447841,0,1
77309447842,1,1
77309447843,0,1
77309447844,1,1
77309447845,1,1
77309447846,1,1
77309447847,1,1
77309447848,1,1
77309447849,1,1
77309447850,1,1
77309447851,1,1
77309447852,0,1
77309447853,0,1
77309447854,0,1
77309447855,1,1
77309447856,1,1
77309447857,0,1
77309447858,1,1
77309447859,0,1
77309447860,1,1
77309447861,1,1
77309447862,0,1
77309447863,1,1
77309447864,0,1
77309447865,1,1
77309447866,1,1
77309447867,0,1
77309447868,1,1
77309447869,1,1
77309447870,1,1
77309447871,0,1
77309447872,1,1
77309447873,1,1
77309447874,1,1
77309447875,1,1
77309447876,0,1
